,text
4407,train started yesterday from yeshwantpur and now reached daund the given attachment showing still chart is not prepared then when charting is done 
4408,unable to booked ticket at jogendra nagarjgnr railway station agartala tripura counter as no staff are available for printing the ticket 
4409, tracking from mumbai to belgaum train number 17318 birth number s5 there is too much water leakage the water was floating in birth 
4410, if possible please clear the route for lucknow mail it s too late i cannot give the exam 
4411, can you mention the difference between ac chair car and anubhuti class in ljn swarn shatabdi this is the pic of anubhuti class which was charged at higher price incant twll the difference in any way excpet the name and price 
4412, save rrbntpc student life result declare
4413, train number 22419 is running late more than 2 hour dont t give pnr and mobile number my mother traveling in this train i will late to go to my office due to this train 
4414, inconvenience caused is regretted matter has been conveyed to concerned officiai
4415, no water in the washbasin tap 22222 cst rajdhani will reach nasik at 8am 
4416, why this train is running this train has no value of time of passengers 
4417, can you please state the difference between ac chair car and anubhuti class in ljn swarn shatabdi as they seem absolutely same to me and still you charge extra for nothing in the name of class kindly refund the amount absolute scam 
4418,good morning i am travelling in lucknow mail12229 it s running very late as my exam is going to be at 10 am in faridabad please help me out 
4419,i am traveling in train no 14009 champaran satyagraha from motihari to anvt which is late by 13 hours this train campartment no me1 is very dirty even there is no distribution of bedsheet and all cleaning required on urgent basis 
4420, sir hum cen01 2018 technicain standby list ke condidate ha sir hmra cbt 1 cbt 2 documents varification or madical test fit condidate ha fir hme job nhi sir hmari watting clear kro 
4421,my kind suggestion that please run this train no 05142 timely or stopped it to run because this train always running late 2 9 hour from when start operation to run this passenger train 
4422, please mark such posts as exclusive amp travel in those trains which take mass labourers from point a to point b please avoid using the advanced technologies to underline the massive reach of the privileged majority passengers are denied the chance to relax amp travel safely
4423,atvm machine not working 
4424, with due respect sir train 12808 samta express coach no b3 in this train all coaches have curtains except coach no b3 our journey is around 22hours which is very difficult to travel in this situation please do something
4425,atvm machine not working patna junction railway station 
4426,train no 12707 i ac charging not enabled no water in washroom no linen provided even after an hour of train leaving the station if this is the state of first ac can t imagine state of other compartments extreme disappointment
4427, train no 20821 scheduled to leave from pune at 10 40 hrs on 07 11 2022 is rescheduled to leave at 18 45 hrs on 07 11 2022 inconvenience caused is deeply regretted 
